country,date,value
US,1973-Q1,15610
US,1973-Q2,17640
US,1973-Q3,17220
US,1973-Q4,20940
US,1974-Q1,22770
US,1974-Q2,25300
US,1974-Q3,23150
US,1974-Q4,27090
US,1975-Q1,27260
US,1975-Q2,26850
US,1975-Q3,24640
US,1975-Q4,28340
US,1976-Q1,27300
US,1976-Q2,29420
US,1976-Q3,27430
US,1976-Q4,30590
US,1977-Q1,29420
US,1977-Q2,32090
US,1977-Q3,28980
US,1977-Q4,30310
US,1978-Q1,30376
US,1978-Q2,36513
US,1978-Q3,34186
US,1978-Q4,39823
US,1979-Q1,40754
US,1979-Q2,44027
US,1979-Q3,43657
US,1979-Q4,50795
US,1980-Q1,53408
US,1980-Q2,56121
US,1980-Q3,52964
US,1980-Q4,57606
US,1981-Q1,58982
US,1981-Q2,60388
US,1981-Q3,54720
US,1981-Q4,58487
US,1982-Q1,54728
US,1982-Q2,56296
US,1982-Q3,49400
US,1982-Q4,48502
US,1983-Q1,48965
US,1983-Q2,50174
US,1983-Q3,47685
US,1983-Q4,53167
US,1984-Q1,53300
US,1984-Q2,55555
US,1984-Q3,52655
US,1984-Q4,56229
US,1985-Q1,54873
US,1985-Q2,55243
US,1985-Q3,50192
US,1985-Q4,53840
US,1986-Q1,53763
US,1986-Q2,54921
US,1986-Q3,52034
US,1986-Q4,56933
US,1987-Q1,57170
US,1987-Q2,61192
US,1987-Q3,60909
US,1987-Q4,68312
US,1988-Q1,74799
US,1988-Q2,79248
US,1988-Q3,76938
US,1988-Q4,83432
US,1989-Q1,86179
US,1989-Q2,93134
US,1989-Q3,86056
US,1989-Q4,91476
US,1990-Q1,95156
US,1990-Q2,98318
US,1990-Q3,91538
US,1990-Q4,98656
US,1991-Q1,100399
US,1991-Q2,104956
US,1991-Q3,98581
US,1991-Q4,106562
US,1992-Q1,107949
US,1992-Q2,109802
US,1992-Q3,104685
US,1992-Q4,112655
US,1993-Q1,110569
US,1993-Q2,113880
US,1993-Q3,105955
US,1993-Q4,117475
US,1994-Q1,116452
US,1994-Q2,123518
US,1994-Q3,122637
US,1994-Q4,134439
US,1995-Q1,137363
US,1995-Q2,142808
US,1995-Q3,140260
US,1995-Q4,149651
US,1996-Q1,150025
US,1996-Q2,150878
US,1996-Q3,144219
US,1996-Q4,160051
US,1997-Q1,160642
US,1997-Q2,169765
US,1997-Q3,165321
US,1997-Q4,176913
US,1998-Q1,168810
US,1998-Q2,166613
US,1998-Q3,156520
US,1998-Q4,172988
US,1999-Q1,166108
US,1999-Q2,171540
US,1999-Q3,168745
US,1999-Q4,186531
US,2000-Q1,185614
US,2000-Q2,196193
US,2000-Q3,195444
US,2000-Q4,201467
US,2001-Q1,193947
US,2001-Q2,189197
US,2001-Q3,170039
US,2001-Q4,173100
US,2002-Q1,166843
US,2002-Q2,177870
US,2002-Q3,172335
US,2002-Q4,177022
US,2003-Q1,174713
US,2003-Q2,180316
US,2003-Q3,175963
US,2003-Q4,194025
US,2004-Q1,196128
US,2004-Q2,206178
US,2004-Q3,200983
US,2004-Q4,214226
US,2005-Q1,214951
US,2005-Q2,230120
US,2005-Q3,222791
US,2005-Q4,238242
US,2006-Q1,243897
US,2006-Q2,260569
US,2006-Q3,256332
US,2006-Q4,269791
US,2007-Q1,269306
US,2007-Q2,284709
US,2007-Q3,287775
US,2007-Q4,308409
US,2008-Q1,313200
US,2008-Q2,340204
US,2008-Q3,337868
US,2008-Q4,297245
US,2009-Q1,245881
US,2009-Q2,251831
US,2009-Q3,263702
US,2009-Q4,294019
US,2010-Q1,295103
US,2010-Q2,314078
US,2010-Q3,316267
US,2010-Q4,346524
US,2011-Q1,347384
US,2011-Q2,370383
US,2011-Q3,367352
US,2011-Q4,378518
US,2012-Q1,375310
US,2012-Q2,385944
US,2012-Q3,374441
US,2012-Q4,389095
US,2013-Q1,375441
US,2013-Q2,391432
US,2013-Q3,384053
US,2013-Q4,408437
US,2014-Q1,389294
US,2014-Q2,410384
US,2014-Q3,403203
US,2014-Q4,409730
US,2015-Q1,369207
US,2015-Q2,385322
US,2015-Q3,367894
US,2015-Q4,367373
US,2016-Q1,343663
US,2016-Q2,360853
US,2016-Q3,358757
US,2016-Q4,373279
US,2017-Q1,367977
US,2017-Q2,380315
US,2017-Q3,378461
US,2017-Q4,405083
US,2018-Q1,398425
US,2018-Q2,425721
US,2018-Q3,409163
US,2018-Q4,418804
US,2019-Q1,405510
US,2019-Q2,413281
US,2019-Q3,403075
MX,1979-Q1,2054
MX,1979-Q2,2155
MX,1979-Q3,2203
MX,1979-Q4,2889
MX,1980-Q1,3422
MX,1980-Q2,3787
MX,1980-Q3,4042
MX,1980-Q4,4260
MX,1981-Q1,5490
MX,1981-Q2,5369
MX,1981-Q3,4206
MX,1981-Q4,5036
MX,1982-Q1,4428
MX,1982-Q2,5104
MX,1982-Q3,5649
MX,1982-Q4,6049
MX,1983-Q1,5182
MX,1983-Q2,5568
MX,1983-Q3,5539
MX,1983-Q4,6023
MX,1984-Q1,6432
MX,1984-Q2,6051
MX,1984-Q3,5867
MX,1984-Q4,5846
MX,1985-Q1,5700
MX,1985-Q2,4914
MX,1985-Q3,5341
MX,1985-Q4,5709
MX,1986-Q1,4041
MX,1986-Q2,3799
MX,1986-Q3,3698
MX,1986-Q4,4620
MX,1987-Q1,4787
MX,1987-Q2,5320
MX,1987-Q3,5171
MX,1987-Q4,5217
MX,1988-Q1,5269
MX,1988-Q2,5434
MX,1988-Q3,4887
MX,1988-Q4,4957
MX,1989-Q1,5441
MX,1989-Q2,6065
MX,1989-Q3,5558
MX,1989-Q4,5778
MX,1990-Q1,6194
MX,1990-Q2,5411
MX,1990-Q3,7018
MX,1990-Q4,8215
MX,1991-Q1,6473
